Experiment	dd0 Aggregate Size	dd1 Aggregate Size 	dd2 Aggregate Size 	dd3 Aggregate Size 	dd5 Aggregate Size 	dd7 Aggregate Size 
0	121.616004	135.141904	156.012242768972	122.659945	115.771157	118.194219
1	114.421927	145.715534	154.0786546641	114.85214	159.662464	125.49478
2	118.950489	186.831952	150.803514997931	158.894889	199.699778	159.815115
3	125.587593	121.649898	152.329608408566	149.388716	142.844269	213.765558
4	91.8841821	147.34997	144.991123502722	177.009573525	290.39079	219.99551
5	85.0092262	112.19702	134.15474722727	177.009573525	754.74994	338.91061
6	148.90783	199.11883	170.144793709947	177.6159275571687	270.13344	235.10028
7	138.17223	178.45888	168.933903303882	219.121	380.56012	439.51547
8	112.987955169067	144.821336	144.730007802068	194.295295	204.397478	218.894079
9	122.439462	153.059651	154.775222918923	159.15471	184.276443	132.878243
10	119.813863	160.282712	153.579143806016	185.629201	184.207779	144.607638
11	108.028983	121.0	144.59316	159.968065	162.161121	169.60964
12	140.861525	165.842433	177.554419	215.876226	215.534439	237.94028
13	135.006682	164.74494	171.801294	190.677213	203.94541	209.92342
14	127.46340270270265	141.891118	156.631026	165.724323	187.658807	187.59595
15	101.1880667752442	131.7715085714285	133.09079603960396	145.2876208955224	193.338775409836	172.70610990712075
16	83.00537420494697	133.39466923076915	153.579143806016	137.63761100323617	129.09645068493145	106.2882451127819
17	71.4858797	113.15181	155.66043542422767	149.6527734788564	119.397954	120.954296
18	71.7095987	118.048496	144.59316	159.968065	130.130602	150.50537
19	123.49966	140.0870758	157.7227798	154.9225881	167.2255487	166.532545
20	131.3693454	156.3960375	175.5507176	163.0056368	212.424847	234.862563
21	135.2253695	151.4662215	166.6122115	159.6514603	189.696203	218.067753
22	115.073049960774	141.9472703	176.8473367	163.4162941	192.19588	190.704754
23	122.574	143.094	144.59316	147.341	122.982	164.588
24	111.954	139.999	159.21715487172813	143.242	174.623	188.8
25	117.447	145.764	144.76075595814797	167.891	277.193	217.879
26	129.734	145.806	152.98232193333334	179.889	187.062	161.408
27	113.494	132.277	157.39612207172814	162.727	183.842	174.642
28	125.273	173.376	149.399736358365	216.286	254.228	183.00108099999997
29	130.172	178.21	156.430715876692	219.121	296.174	200.44004049999998
30	118.019	150.89	148.774345332906	217.797	234.038	206.12985766666668
31	78.8718593220339	79.610856	121.070115333333	154.954821367521	120.676622463768	144.106292
32	139.0	158.809886324786	157.703575333333	210.289987628866	243.22162137931	203.951952
33	115.0	156.0	164.939737241379	161.003889333333	187.905097333333	208.57972
34	113.817	134.364	176.992	181.011	182.243	202.287
35	109.556	129.57	167.817	163.629	183.138	183.578
36	113.5	147.0	141.1	149.8	135.8	199.2
37	111.0	138.6	148.9	155.8	190.6	211.5
38	103.666467333333	132.841228	163.314106666667	161.245917333333	159.060372	181.751855333333
39	105.507306666667	138.583769333333	159.009036	153.090476666667	171.425546	251.999169178082
40	116.442343333333	147.061908	155.679382666667	156.398121333333	150.039516666667	172.158943333333
41	113.244708	123.505011333333	163.507125	157.754915333333	151.051617333333	189.019868
42	118.195174666667	142.060097333333	155.293061486486	168.748625333333	176.610698666667	233.156044
43	96.34711	142.43413	169.885396	235.187404494382	204.655122764228	155.0354536
44	99.4159217391304	155.63887852349	156.266115333333	176.089984	208.007664	204.435993650794
45	115.503587333333	140.37327	152.467085333333	158.077149606299	167.362489333333	202.250457333333
46	105.778670666667	123.996393333333	145.139898657718	148.580048666667	140.248596	143.13087
47	115.371577333333	135.180782	155.418145689655	188.719180666667	162.412027333333	123.086972
48	104.50255	120.219369333333	146.81761588785	155.620718	163.534132	159.031038666667
49	97.2491986666667	117.095073333333	127.680292248062	141.781411333333	141.422037333333	196.405234666667
50	126.262608	153.787210666667	167.487168666667	176.368674	217.439224666666	256.83762
51	126.049922	187.696874782609	148.294018666667	247.045996226415	297.6468925	192.875735
52	102.016312666667	130.309713043478	156.662146666667	144.590339333333	177.830996268657	179.060264666667
53	146.225828	143.101534	143.101534	209.506692622951	253.969321875	245.90220131579
54	132.327849333333	170.501459333333	170.501459333333	201.018338	203.532824691358	252.264934883721
55	116.706369333333	131.565105333333	131.565105333333	186.951678	310.504365	268.013832374101
56	102.79372	122.588257333333	164.018178	152.833788	161.487938666667	207.897658666667
57	102.331672666667	133.156593333333	149.526136666667	141.752068666667	187.930359259259	216.177775333333
58	93.6261853333333	115.122215333333	149.005422666667	139.808554	164.370204	151.660848062015
59	87.9569806666667	122.847706015038	140.299934666667	132.049154666667	172.971909090909	179.346286666667
