Experiment	Average DO concentration d0	Average DO concentration d1	Average DO concentration dd0	Average DO concentration dd1	Average DO concentration dd2	Average DO concentration dd3	Average DO concentration dd4	Average DO concentration dd5	Average DO concentration dd6	Average DO concentration dd7
0	108.2344	87.827	83.00788888888889	83.90069999999999	77.28407692307692	70.14980952380951	65.55902380952381	74.68975590551182	65.14186772486772	30.41537179487179
1	88.25599999999999	74.95353333333333	74.50263636363636	78.39414285714285	74.20158333333333	68.37663157894737	64.08972	75.16146575342465	65.05072727272727	31.58469696969697
2	90.72258490566036	82.02435135135134	84.46712234042553	87.60477042801556	83.462303514377	79.84003603603604	74.38491329479768	70.06445815899582	61.281013671875	33.78931166666666
3	116.8642826086956	78.80851999999999	74.64130000000002	77.92091666666667	73.53033333333333	65.58492	58.18748484848484	68.17734444444444	64.53052777777778	52.82807317073171
4	114.9939183673469	87.6846463414634	82.24885964912279	82.26026829268294	76.34938235294118	66.01037837837838	78.048109375	85.03608849557521	72.8952258064516	60.83181506849315
5	89.32396428571428	76.87827586206897	69.905375	70.99163636363636	64.12126666666666	65.29436585365853	71.06177272727273	74.11306097560976	72.09037974683545	62.90180487804879
6	139.8874375	87.32982142857144	80.85766666666667	82.761	73.43145945945946	58.07628571428572	38.93703703703704	64.52240298507462	54.27322222222224	28.94834920634921
7	127.6041296296296	88.32876470588236	78.56320000000001	76.88691666666666	66.44035897435896	49.16402272727273	28.43286206896552	63.67643333333334	68.89831914893618	54.04721311475409
8	93.84750000000003	70.8803043478261	63.85357142857143	57.80821428571428	71.23990909090911	59.20496202531645	60.18664102564102	60.0262	63.95554482758621	60.07153571428572
9	95.14505405405406	75.22373333333333	67.58657142857143	66.64166666666668	57.72238709677419	44.45379487179487	29.44962790697674	77.59926293103449	80.32447507331379	80.01607628865979
10	117.7143529411764	78.23141176470588	69.27266666666668	68.5464	58.70666666666667	44.38623076923076	29.61776315789474	69.62732894736843	60.57440350877193	32.44449315068493
11	94.54660784313727	69.90547272727274	65.55710666666667	65.21469523809525	56.52382962962962	43.25507878787879	41.46537499999999	61.63218666666667	49.46284536082475	34.21241438356165
12	93.40700000000001	75.38796363636364	70.10245333333333	73.81378095238095	66.4344	52.81001807228915	48.03271495327103	66.51512	57.98688501742161	36.13142456140351
13	94.90428	76.54830379746835	71.39626785714286	75.56884276729559	69.37321686746986	57.51148958333334	52.13201809954751	62.10383842794759	49.21367682926829	21.90410377358491
14	114.3677924528302	90.39561643835617	74.44434666666666	76.70371428571428	68.94917037037037	57.20951515151515	53.03221078431373	66.92704659498209	56.31235313531353	39.58513840830449
15	91.16841176470588	78.3261111111111	71.5049090909091	70.45526666666666	66.23787179487178	67.08010344827586	69.87471578947368	58.98165714285715	52.37674074074074	17.26544736842105
16	82.651	83.1285	80.70272727272727	74.8087619047619	80.24955000000001	61.32888095238096	44.43337209302326	43.99624324324324	70.53503846153846	45.71030158730159
17	86.77266666666668	85.97583333333334	83.18036363636362	77.20554545454547	81.92998837209304	62.07762068965517	41.06874999999999	38.58314285714285	73.42994444444444	63.5997962962963
18	74.83959999999999	74.29962499999999	71.73133333333332	64.33934615384615	67.04132954545454	45.88173333333334	27.27057575757576	27.61144827586207	67.73957009345796	62.60647457627119
19	88.48225581395349	72.24465957446809	70.76629629629628	71.63002727272728	64.66285714285713	54.23885798816568	49.05521799307958	68.11648924731183	57.11934114583332	33.89586270491802
20	96.9770681818182	80.8260980392157	78.74399999999999	80.46413333333334	72.10759259259261	59.3335243902439	45.69624299065421	19.02594252873563	22.85753548387097	19.87352447552447
21	93.48995348837208	82.86674000000001	80.63533333333334	82.78334285714286	74.57134814814815	61.38816363636363	51.10496984924622	53.5854126984127	55.94519230769231	35.58568881118882
22	107.6614565217391	85.82748529411765	82.33641975308642	82.58655932203389	72.6241724137931	56.89223636363635	41.13959042553191	77.83090397350992	78.55841967213115	79.8436
23	109.2319411764706	83.45067213114753	76.59206493506494	71.67375238095238	56.64379861111112	40.00169540229885	32.64286425339367	38.777632	48.79317845117846	52.02087480438185
24	97.89479069767441	79.57854901960783	72.87649333333333	69.46151428571429	54.49092592592592	37.90421818181819	28.60296601941748	78.26382935153583	79.10737953795379	79.86266083916084
25	108.6018333333333	96.08605769230768	91.55270666666667	90.38289565217394	81.49162068965516	66.90279365079365	47.91816292134831	75.21092523364486	71.68525221238939	52.39971333333334
26	89.98995	79.95634	76.6512	76.62747619047619	64.40371851851852	51.09483636363636	43.12238073394496	78.8684384057971	79.25350498338871	79.94697543859648
27	92.301175	81.52874509803922	78.11153333333333	77.7210380952381	65.49367407407408	49.21733333333334	33.26366028708134	19.87612857142857	22.7401606557377	19.86016901408451
28	103.7522666666666	99.59223913043479	91.50082051282051	79.71362831858407	116.751892	64.01468604651161	43.61248372093024	50.01972321428572	68.07740772532189	58.97986851211073
29	80.8974375	79.66424444444442	79.64446666666667	79.72400952380953	80.42152112676057	79.5228303030303	80.1473785046729	80.01926339285716	77.6783602484472	79.98037762237762
30	19.401375	20.01117777777777	19.96508	19.89346666666666	27.27356621004566	19.68375757575758	19.93910606060606	19.93975	22.93562	20.03403125
31	155.986425	146.9138974358975	144.9872952380952	142.9989824561404	117.988150877193	126.3412795969773	197.6848248175182	237.4933206521739	237.2542704174229	214.2562547945205
32	103.709756097561	85.80307407407409	79.29802666666666	73.90376190476191	58.36610370370371	41.50252727272727	43.68248927038627	63.1669	50.5049268292683	18.85001742160279
33	98.66583333333334	87.33635999999998	84.54456	85.34440952380953	82.6190888888889	76.56647272727272	75.12983555555556	69.11152	70.79678597785978	53.99796842105264
34	112.1051590909091	87.44860784313727	82.35801333333333	82.82837142857142	78.9007925925926	69.21490909090909	61.81000497512439	67.52586086956522	66.88067164179104	44.90051929824562
35	101.6804583333333	85.82264705882355	83.91944	84.8467619047619	81.79649629629628	73.4062606060606	67.06621256038649	70.97334453781512	70.24518214285713	60.06412658227849
36	110.314225	95.5226170212766	91.63946666666668	91.89416190476192	85.3299925925926	76.36381212121212	75.99245374449339	70.59294893617022	61.75947878787878	35.32663859649123
37	101.2734324324324	85.47815686274511	79.72432	81.60508571428569	73.92105925925925	62.93558787878788	65.57507203389831	63.3970593220339	61.72745110410094	41.91745263157895
38	102.7082285714286	87.3902	81.33085714285714	79.5495625	70.89028125	63.37939024390244	87.65806024096385	60.833784	48.86278645833334	14.14470454545455
