Experiment	d0 Average pH	d1 Average pH	dd0 Average pH	dd1 Average pH	dd2 Average pH	dd3 Average pH	dd4 Average pH	dd5 Average pH	dd6 Average pH	dd7 Average pH
0	7.067529411764705	6.81908	6.583861111111111	6.526025	6.611545454545455	6.92315625	6.647576923076924	6.555818181818182	6.675911764705881	7.03982142857143
1	7.259799999999999	6.85096	7.145157894736841	6.991	6.833088235294118	6.843135135135134	6.602639999999999	6.746703703703705	6.862538461538462	6.94812
2	7.124666666666668	6.860076923076923	7.294534883720929	6.616605263157896	6.73671875	6.92569696969697	6.62173076923077	6.615722222222222	6.539342857142858	6.976566666666668
3	7.114656249999999	6.794346153846154	6.827923076923077	6.953078947368422	7.11471875	6.973193548387097	6.744807692307693	6.746750000000001	6.777439999999999	6.800375
4	7.06065625	6.846551724137932	7.054666666666667	6.909200000000001	6.618	6.555046511627907	6.599625000000001	6.682807692307692	6.75952	6.771208333333333
5	7.039617647058824	6.840703703703703	6.906722222222223	7.132861111111112	6.911933333333334	7.0576875	6.816925925925926	6.784416666666668	6.805	6.804625000000001
6	7.109470588235293	6.825576923076923	7.185571428571428	5.15396	6.695111111111111	6.500953488372093	6.653038461538463	6.79172972972973	6.724307692307691	7.228606060606061
7	7.150727272727273	6.780269230769231	7.014428571428572	6.478470588235293	6.831900000000001	7.363972972972974	6.673629629629629	6.861656249999999	6.79	6.893677419354837
8	7.092384615384617	7.078714285714286	6.903815789473684	6.985466666666666	7.028935483870968	7.156555555555555	6.982875	7.199194444444444	7.027037037037037	6.968679999999999
9	7.03834375	6.806807692307691	7.656555555555554	7.86808888888889	6.86814705882353	6.944548387096774	6.642242424242425	7.18611111111111	7.026629629629631	7.1868
10	7.115794117647058	6.791346153846154	6.442975609756097	6.602307692307691	6.268709677419355	6.845323529411765	6.686916666666666	7.0345	6.880839999999999	6.737515151515153
11	7.114458333333333	6.806726519337017	6.98591086350975	6.981866666666666	6.699140883977901	6.930894444444445	6.756596100278552	7.027241666666666	6.91906388888889	7.140292479108634
12	7.007158774373259	6.749096952908587	6.968898876404494	6.910225000000001	6.607519444444444	6.831016666666667	6.633373259052926	6.878924999999999	6.728511049723759	6.9683286908078
13	7.009580555555556	6.794005555555555	6.947690807799443	6.897330555555555	6.544486111111111	6.850480555555555	6.657805013927577	6.893555555555554	6.730241666666666	7.017363888888889
