Experiment	dd0 Cell Density	dd1 Cell Density	dd2 Cell Density	dd3 Cell Density 	dd5 Cell Density	dd7 Cell Density
0	0.725	0.88	1.04726125383849	1.005	1.82	1.5572029096283304
1	0.65	0.9	1.071062645971183	1.335	2.335	1.9978399966934897
2	0.88	0.9	1.071062645971183	1.03	1.66	1.4203059505401254
3	0.785	1.07	1.2733744790990733	0.685	1.035	0.8855522041018251
4	0.41	0.81	0.9639563813740648	2.678	2.67	1.665
5	0.295	0.32	0.38082227412308733	0.908	0.68	0.69
6	1.185	0.72	0.8568501167769464	2.4625	2.105	1.22
7	1.185	0.29	0.3451201859240478	1.77	1.06	1.035
8	0.66	0.635	1.12	2.27	1.87	1.5999832093433946
9	1.21	0.84	1.26	2.77	1.68	1.4374180704261512
10	1.16	0.805	1.36	2.83	2.4	2.053454386323073
11	1.09	0.835	1.415	2.34	2.25	1.19
12	1.03	0.595	1.315	2.25	2.0	1.405
13	0.92	0.88	1.485	2.12	2.69	1.64
14	0.89	0.895	1.265	2.22	2.49	1.585
15	0.85	1.2	1.655	2.06	1.575	1.76
16	0.54	0.52	2.375	2.0	1.15	0.55
17	0.5	0.696	2.4	3.0	1.52	0.94
18	0.45	0.668	2.28	3.0	1.77	0.86
19	0.96	0.91	1.845	2.26	2.15	1.145
20	0.59	0.7613	1.16	1.48	2.27	1.14
21	0.58	1.0	1.15	1.38	1.8	1.16
22	0.7	1.11	1.58	2.05	3.06	2.0
23	0.8	1.13	2.07	1.235	0.778	0.16
24	0.75	0.97	1.75	1.235	1.49	1.87
25	1.0	1.34	1.613	1.74	1.62	2.27
26	1.18	0.86	1.61	2.17	1.19	0.93
27	1.28	1.055	1.8	2.23	2.07	1.52
28	1.12	0.84	1.1125	1.0	1.16	0.9925029533894852
29	0.99	0.74	1.157	1.33	1.73	1.4801983701412151
30	0.96	0.57	1.28	1.226	1.5	1.2834089914519204
31	0.3	0.59	1.18	1.4	0.96	1.05
32	1.0	1.0	1.86	2.3	2.18	2.45
33	0.32	1.16	1.6	1.57	1.575	1.56
34	0.43	1.31	1.345	1.42	1.2475	0.96
35	0.44	1.145	1.31	1.17	0.71	0.9
36	0.52	1.0	1.03	1.62	1.56	1.56
37	0.63	0.68	1.3	1.26	1.26	1.43
38	0.62	0.99	2.215	2.69	2.74	2.115
39	0.58	1.36	2.125	1.97	1.22	1.51
40	0.54	1.05	1.74	2.36	2.63	3.05
41	0.47	0.76	1.3	2.5	1.98	1.93
42	0.65	0.895	1.06	2.44	2.12	2.79
43	0.43	0.71	1.34	2.78	1.3	1.82
44	0.68	1.0	1.79	2.59	1.93	1.93
45	0.78	0.91	1.31	2.015	1.74	2.04
46	0.575	0.745	1.83	2.3	0.83	1.2
47	0.71	0.695	1.6775	2.24	0.49	0.855
48	0.535	0.6975	1.89	2.23	0.91	1.61
49	0.56	0.91	1.9875	2.23	1.6	2.87
50	0.73	1.23	1.76	2.03	2.55	2.13
51	0.63	0.5	0.51	0.96	0.78	0.87
52	0.78	1.17	1.9	2.25	2.11	1.81
53	0.66	0.74	1.57	1.88	1.1	1.26
54	0.64	0.81	1.96	1.86	1.59	1.77
55	0.47	0.47	1.4	1.5	1.6	1.81
56	0.625	0.75	1.62	2.28	2.73	3.35
57	0.71	0.84	1.84	1.6	2.02	2.49
58	0.68	0.56	0.34	1.23	1.08	1.43
59	0.56	0.665	0.99	1.45	1.58	2.15
