Experiment	dd0 Glucose Concentration	dd1 Glucose Concentration	dd3 Glucose Concentration	dd5 Glucose Concentration	dd7 Glucose Concentration
0	9.18	3.895	9.875	0.635	7.555
1	9.52	4.47	10.145	1.01	2.91
2	9.0275	4.415	10.27	0.0	6.745
3	8.995	5.155	10.255	2.27	2.135
4	9.5475	1.7	0.0175	1.61	1.065
5	10.795	0.6	3.605	3.765	3.095
6	8.715	1.8	1.2125	2.1257692307692317	0.96
7	7.135	0.7	0.4875	0.0	1.765
8	9.22	3.6478311965811963	1.910347222222222	2.13	2.671346153846154
9	9.4225	3.6478311965811963	1.910347222222222	0.56	2.671346153846154
10	9.055	4.645	1.910347222222222	0.0	2.671346153846154
11	8.99	5.675	1.175	2.06	2.87
12	8.8325	6.2	1.755	1.9025	2.905
13	9.195	4.99375	1.275	0.555	1.535
14	9.0475	6.1	1.54	1.325	1.615
15	9.11	3.6478311965811963	0.0	2.1257692307692317	1.36
16	10.1775	4.015	0.10250000000000001	2.4725	4.4225
17	10.47	3.4625	0.09	2.5775	4.26
18	10.3375	3.0725	0.1225	2.7275	3.115
19	9.1975	4.315	0.0	0.65	2.92
20	9.3383	3.0	0.0	1.26	0.57
21	9.255	2.725	0.0	2.56	0.625
22	9.19	3.705	0.0	0.94	0.565
23	8.2775	2.735	0.0	5.035	0.525
24	8.5075	2.35	0.0	2.005	6.075
25	9.495084615384618	2.56	1.910347222222222	0.82	0.0
26	9.495084615384618	4.83	1.910347222222222	1.87	4.535
27	9.495084615384618	4.47	1.910347222222222	1.06	0.325
28	8.6925	4.09	0.0	2.075	0.0
29	9.52	4.54	0.0	1.615	0.0
30	8.945	4.785	0.0	1.36	0.0
31	9.86	0.85	1.67	3.595	3.56
32	8.8	1.2866666666666668	0.0	0.695	8.33
33	11.95	2.63	0.0	1.04	0.8
34	11.42	3.0	3.66	5.06	3.045
35	11.685	3.265	4.89	6.905	5.525
36	10.165	4.715	2.78	4.65	5.82
37	10.2575	5.2	1.165	2.43	2.085
38	9.685	4.01	0.56	1.855	0.595
39	9.315	3.405	1.865	4.07	3.0
40	10.105	4.365	0.0	3.815	3.905
41	9.37	4.535	0.255	1.94	3.065
42	11.3	5.7	0.3	4.7	2.3
43	11.5	6.2	0.6	2.7	0.7
44	12.4	5.9	1.0	3.8	3.4
45	11.6	4.8	0.3	4.7	4.1
46	10.6	5.7	1.3	4.9	5.3
47	10.2	6.2	1.9	8.1	8.7
48	11.1	5.3	0.8	4.2	4.9
49	11.0	4.7	0.6	4.7	2.2
50	9.0	3.9	0.0	2.3	0.0
51	9.5	5.3	2.3	4.8	3.1
52	9.7	4.1	0.0	2.5	0.7
53	9.6	5.5	1.0	3.1	2.9
54	9.8	4.8	0.0	2.9	0.5
55	9.7	5.3	0.9	4.6	4.4
56	10.7	5.4	0.9	2.1	0.0
57	10.8	5.6	0.9	4.4	5.1
58	10.7	6.8	2.3	7.4	4.9
59	10.9	5.8	1.1	6.6	5.6
