Experiment	dd0 Lactate Concentration	dd1 Lactate Concentration	dd3 Lactate Concentration	dd5 Lactate Concentration	dd7 Lactate Concentration
0	13.675	14.025	2.09	17.78	5.935
1	14.115	13.35	2.165	17.105	12.51
2	14.44	13.67	1.775	19.05	7.21
3	13.995	11.955	0.995	16.43	14.295
4	13.0575	11.3	15.1	16.425	14.455
5	11.585	10.1	12.1	12.13	12.835
6	15.045	11.3	14.7	15.776212121212122	16.575
7	12.3775	11.5	13.375	18.93	14.225
8	12.755	13.818782051282048	14.366666666666667	16.175	13.370256410256408
9	15.83	13.818782051282048	14.366666666666667	17.275	13.370256410256408
10	15.265	12.02	14.366666666666667	17.99	13.370256410256408
11	15.03	11.255	16.15	14.685	12.265
12	15.375	9.05	16.2	14.075	13.075
13	15.1275	12.2225	16.205	17.475	14.4
14	15.245	11.05	14.05	14.325	12.6
15	15.47	13.818782051282048	15.83	15.776212121212122	12.88
16	13.535	13.75	18.3	12.25	13.075
17	13.235	14.5	17.55	13.55	14.5
18	13.3725	12.4	15.525	14.125	13.2
19	14.6025	13.815	17.42	19.555	15.825
20	14.065	19.075	18.015	20.375	20.59
21	14.285	19.16	18.12	18.605	18.985
22	13.94	15.845	16.205	18.05	17.225
23	14.8075	15.565	16.15	10.46	15.37
24	14.97	14.505	14.97	14.5	7.92
25	13.607678571428574	16.52	14.366666666666667	19.7	18.395
26	13.607678571428574	12.17	14.366666666666667	18.11	12.245
27	13.607678571428574	14.02	14.366666666666667	19.37	6.915
28	13.0725	14.695	15.765	17.575	16.165
29	13.565	14.27	15.66	16.475	16.14
30	13.685	15.0	16.26	18.39	17.285
31	12.73	11.2	16.275	13.55	11.0
32	14.905	13.945	14.895	18.42	15.06
33	11.865	19.59	18.73	18.805	16.9
34	13.115	19.135	16.53	13.56	12.875
35	13.07	19.21	13.41	10.75	9.74
36	13.895	11.29	13.545	10.61	7.235
37	14.88	11.095	16.405	15.085	13.175
38	13.765	13.49	16.805	15.495	15.455
39	14.08	16.24	16.32	14.82	13.08
40	13.93	13.3	17.23	11.445	8.705
41	13.95	12.35	16.38	14.985	11.12
42	13.1	13.2	16.1	10.0	11.6
43	13.0	13.4	16.5	12.6	14.6
44	12.0	12.2	16.0	11.7	10.4
45	13.6	12.1	16.5	10.1	8.9
46	14.0	12.3	17.1	11.6	11.8
47	14.8	11.1	16.2	5.9	5.9
48	14.4	11.6	17.0	13.3	11.7
49	14.5	13.2	17.6	12.1	14.9
50	14.5	14.2	16.4	15.3	16.7
51	14.1	11.9	16.2	12.2	13.4
52	13.7	13.8	16.8	15.6	16.4
53	13.6	11.0	15.5	14.2	13.8
54	13.6	12.0	15.8	14.6	17.2
55	13.2	11.6	15.8	11.2	10.6
56	12.7	10.8	16.7	14.1	15.7
57	12.1	11.5	17.0	11.2	9.7
58	12.7	8.8	15.3	6.7	9.8
59	12.7	10.7	17.1	8.3	7.6
