Experiment	d0 Average pH Gradient	d1 Average pH Gradient	dd0 Average pH Gradient	dd1 Average pH Gradient	dd2 Average pH Gradient	dd3 Average pH Gradient	dd4 Average pH Gradient	dd5 Average pH Gradient	dd6 Average pH Gradient	dd7 Average pH Gradient
0	-0.06251200075528736	-0.003823734337837955	-0.02200666220954655	-0.07258308346922204	-0.1200805863560895	-0.02080571213118344	-0.005371649874746694	0.02018290779938361	-0.1052954077250588	-0.01001167573111182
1	-0.02853109078764951	-0.003626116986671616	-0.118095152756604	-0.01242105928897025	-0.08655486036398966	-0.03059647843606203	0.003752287003929072	0.00506942025864397	0.004253469439010338	0.002797407143538965
2	-0.02107151701658695	-0.00519331467725874	-0.2222228419727973	0.008970340734468818	-0.1184290099631693	-0.02146189757939965	-0.003551173499617359	-0.0975745002295676	-0.06054232770441577	-0.01350028290858104
3	-0.01562173232674763	-0.004452929053841098	-0.07017459927839283	-0.1246169925670731	-0.114203335687188	-0.01491566732396811	-0.003063154800482484	0.001125011577289993	0.001162115183672997	0.000916574080496994
4	-0.01793707732137721	0.01117914390572974	-0.1447304483000058	-0.1550545173698598	-0.009524810348328873	-0.1421530428412717	0.000770782675149747	0.005549079097608967	0.0006571646533670325	0.0005416666666666721
5	-0.04503365763721289	0.002586117708973831	0.07915336065329576	-0.06910366460861629	-0.01220429594148898	-0.08421988663469669	-0.005085660761321289	0.0008750347704502252	0.0004583565007733849	4.164352494679353e-05
6	-0.01669479728801482	-0.004355878266577938	-0.1430109040025184	0.261880144766993	-0.006664030490117372	-0.02217508134382013	0.001724702071383947	-0.1382544394167845	-0.005060194522458887	-0.1642298097741831
7	-0.05790080207556399	-0.003531611637615235	-0.005255300350044556	-0.01690585751178758	-0.01368676798734325	-0.1722014130811796	-0.00507365648057549	-0.0754713789983091	-0.006710543220433145	-0.1130814139422172
8	-0.1802214259212878	0.0002150858679417332	-0.2254156422759425	-0.01272310287886711	-0.1364306336093064	-0.008261863475810968	-0.1823206088553789	-0.03520075880061936	-0.001324093485519362	-0.0001745454545465333
9	-0.01654775242682665	-0.00367975232757844	-0.04013380677262485	-0.2646944980044055	-0.1764695624176078	-0.01729060258896766	-0.09053093819806632	-0.007394374486029564	-0.006628209457996704	-0.1053578836870242
10	-0.01837926888213597	-0.003822823620108901	-0.007174081624177788	-0.03129535802400966	-0.00931876706044887	-0.0224371995091143	-0.09927695928034819	-0.009188823453549195	-0.004948716092162827	-0.08666344812996203
11	-0.01783567771241003	-0.006048348272620512	-0.009869624013222566	-0.01924619640387281	-0.0149668215078597	-0.017077973720609	-0.007992001756837636	-0.009040456431535032	-0.01549965421852147	-0.004886498919312142
12	-0.01956043255522845	-0.02771364696957548	-0.01950318196652483	-0.02086860304287693	-0.02116528354080231	-0.01782780082987588	-0.005763589500572789	-0.01112223374827086	0.001837532381188257	-0.007270194986072656
13	-0.01992550769195208	-0.01104114799446743	-0.01954928975138473	-0.0238680843706779	-0.01099809820193631	-0.01811894882434283	-0.009565817912830041	-0.01241407330567076	-0.007623271092669564	-0.007331604426002629
14	-0.0214658809581925	-0.007579011065006511	-0.02095418395573971	-0.02590992392807745	-0.01136178180515253	-0.01628872752420444	-0.005026294802297756	-0.009789073305670588	-0.007589835758617571	-0.005207468879668021
15	-0.02673781068779222	-0.207034427496181	-0.2060597974189474	-0.01710795663954581	0.0005729781270102939	-0.008361116385239271	-0.0571868318755655	-0.2902455338779439	-0.06308639455785972	-0.00408814479638012
16	-0.0162464688421354	-0.0229639603009404	-0.04048703690506917	0.01696447750802312	-0.07899762229690845	-0.008199039849747127	-0.007863636338094638	-0.07788515080437937	-0.004799666984077112	-0.003124235919041661
17	-0.06999062349305933	-0.02619244593893773	0.0001288182712556225	-0.140008528000297	-0.1397006566624875	-0.006381221698640039	-0.006659283104606153	-0.06478039220132861	-0.004915695399659605	-0.004048076909871804
18	-0.07428800743152364	-0.02350367272622653	-0.0007831578921859284	0.001403724877847231	-0.07445406502780026	-0.006916666644098893	-0.005614189910526767	-0.1210970412953612	-0.005436137118534113	-0.004104395591004239
19	-0.01858950057212861	-0.001482166871644274	-0.03563073987655341	-0.02557693637621036	0.008660392930015432	-0.02184255417243064	-0.009636002225364669	-0.007561113743801661	-0.00545729598893528	-0.008354465493128235
20	-0.0219335059351125	-0.00341666666666669	-0.03320964181278019	-0.03482408731127282	0.001375691562931976	-0.02281164163403569	-0.02552811840793263	-0.01458039419087117	-8.644536655734293e-07	-0.00901317226238717
21	-0.02039378633594934	-0.004249135546334592	-0.02049066390041731	-0.03097167497704653	0.001208333333333088	-0.04393990518048852	-0.01720418395574285	-0.01295522130013845	-0.00187499999999957	-0.006775011526048718
22	-0.02178907330567084	-0.004888406014863698	-0.05319754246807842	-0.01415700100831088	-0.0009603092962239991	-0.02931025290340254	-0.03050159326929803	-0.0102468879668045	-5.186721990638188e-07	-0.02727026126136303
23	-0.01813793782887873	-0.005040283540802295	-0.02657589903181201	-0.02769934301521431	0.002506443671332213	-0.007275840886436439	-0.01675854300525284	-0.003801014805996353	-0.002540283540802031	-0.001249135546334705
24	-0.01674950010980246	-0.004206604426002811	-0.02948773835610107	-0.03178371369294623	0.0004581604426003055	-0.02228460534290697	0.008491837853694362	-0.01316269017980664	-0.002415975103734222	0.0150893391605921
25	-0.02612206567343598	-0.006831258644536717	-0.03146859993472895	-0.03016123626024347	0.003878680102747225	-0.024198481419247	-0.004328079779629562	-0.01545487551867198	0.001506085368531378	-0.006456258644536712
26	-0.02874131693616436	-0.005146698897939969	-0.02192754280135282	-0.02522193590125642	-0.006951656273905259	-0.01549844542817194	-0.005489000672245526	-0.00366562932226829	-0.001718572521384841	-0.003334261838440123
27	-0.02740513644401801	-0.007143286445751794	-0.02352837356086672	-0.03254967215535447	-0.0006671853388659191	-0.01734184844340506	-0.008359949789044105	-0.0124137275242045	-0.003275044457619226	-0.007142766328783337
28	0.00593654505008266	-0.01648678798989527	0.0005510877107212917	-0.01353816176500057	0.0002498567741750915	-0.0137462039234675	0.0002089515248650421	-0.01524630987649806	-0.0003332305518964447	0.005790010745836284
29	-0.0231258105864491	-0.01320346243606153	-0.001091893561913783	-0.01274602058600224	-0.009115024109216253	-0.009081009175869726	0.001583370523099777	-0.006474851992157344	-0.000833028645440998	0.005706729395485072
